Tortoise_ID,Treatment,Nest_ID,Tank,Growth_rate_During,Growth_rate_3_Weeks_Post,Growth_rate_3_Months_Post,Time_Interval,Telomere_Change,Growth_Rate,z_telo,z_growth,outlier
GT2023_N15.02,Cold-Dormancy,GT2023_N15,1,0.096,0.484210526,0.651648352,Early_Spring_2024,8403750.05,0.484210526,2.0989849466264237,0.8828383160807701,FALSE
GT2023_N15.02,Cold-Dormancy,GT2023_N15,1,0.096,0.484210526,0.651648352,Late_Spring_2024,-7870707.873,0.651648352,2.380776057632898,0.4571384510332297,FALSE
GT2023_N15.03,Constant-Warmth,GT2023_N15,2,0.570526316,0.657894737,0.883516484,Winter_2023,-6423147.079,0.570526316,2.0347571503146185,0.5260666349585715,FALSE
GT2023_N15.03,Constant-Warmth,GT2023_N15,2,0.570526316,0.657894737,0.883516484,Early_Spring_2024,1662894.426,0.657894737,0.475329947291537,0.5646951648839144,FALSE
GT2023_N15.03,Constant-Warmth,GT2023_N15,2,0.570526316,0.657894737,0.883516484,Late_Spring_2024,1830977.991,0.883516484,0.46604183537414035,0.1480680494821952,FALSE
GT2023_N15.05,Constant-Warmth,GT2023_N15,5,0.290105263,0.978947368,0.093406593,Early_Spring_2024,-388480.6245,0.978947368,0.018780228336099318,0.023387627088358315,FALSE
GT2023_N15.05,Constant-Warmth,GT2023_N15,5,0.290105263,0.978947368,0.093406593,Late_Spring_2024,1146926.669,0.093406593,0.26531697471555993,1.9142232970264912,FALSE
GT2023_N17.02,Cold-Dormancy,GT2023_N17,6,0.228421053,0.757894737,0.875824176,Winter_2023,8128877.135,0.228421053,1.7400624716219442,0.409351697630916,FALSE
GT2023_N17.02,Cold-Dormancy,GT2023_N17,6,0.228421053,0.757894737,0.875824176,Early_Spring_2024,-8770806.58,0.757894737,2.0378125593721443,0.3815218359065006,FALSE
GT2023_N17.02,Cold-Dormancy,GT2023_N17,6,0.228421053,0.757894737,0.875824176,Late_Spring_2024,700501.1622,0.875824176,0.13431993580205848,0.12799010791510285,FALSE
GT2023_N17.03,Constant-Warmth,GT2023_N17,8,1.010421053,2.468421053,1.321978022,Winter_2023,642405.9142,1.010421053,0.20194078838852014,1.728870701142818,FALSE
GT2023_N17.03,Constant-Warmth,GT2023_N17,8,1.010421053,2.468421053,1.321978022,Early_Spring_2024,-61420.14933,2.468421053,0.05999810563443314,2.751706160145418,FALSE
GT2023_N17.03,Constant-Warmth,GT2023_N17,8,1.010421053,2.468421053,1.321978022,Late_Spring_2024,6938457.179,1.321978022,1.964756939571979,1.2925106718240655,FALSE
GT2023_N17.04,Cold-Dormancy,GT2023_N17,9,0.074842105,0.768421053,0.671428571,Winter_2023,-541574.2485,0.074842105,0.5090672392807495,0.8292825756279832,FALSE
